timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
6243885,5.94196,6.05064,7.17187,23.4772,1.0
6254820,5.9699,6.07899,5.69,23.4672,1.0
6265767,5.99596,6.10545,6.43902,23.4686,1.0
6277491,6.02004,6.12991,6.38326,23.4629,1.0
6287776,6.04243,6.15298,5.91911,23.4886,1.0
6298826,6.06363,6.17443,7.15883,23.4758,1.0
6310494,6.08458,6.19574,5.76732,23.4743,1.0
6321822,6.10702,6.21857,8.38485,23.4715,1.0
6334164,6.13566,6.24778,7.82522,23.47,1.0
6345202,6.1677,6.28068,4.91715,23.4872,1.0
6355766,6.195,6.30832,5.93472,23.4901,1.0
6366155,6.21919,6.33283,7.89254,23.4786,1.0
6377172,6.24502,6.35889,6.36967,23.4615,1.0
6389733,6.27138,6.38579,7.03376,23.4615,1.0
6399889,6.29877,6.41386,7.76838,23.4629,1.0
6410825,6.32899,6.44465,7.0593,23.4643,1.0
6422030,6.35956,6.47568,6.36983,23.4615,1.0
6433770,6.38958,6.50634,7.93765,23.4843,1.0
6446048,6.42042,6.53775,6.48005,23.4729,1.0
6457822,6.44969,6.56742,6.3698,23.4615,1.0
6470030,6.47426,6.59245,5.76723,23.4743,1.0
6481765,6.49308,6.61192,5.90461,23.4872,1.0
6494073,6.50877,6.62758,7.75632,23.4615,1.0
6505158,6.5259,6.64516,7.14683,23.4743,1.0
6515757,6.54671,6.66613,8.32132,23.4629,1.0
6526819,6.57349,6.69363,8.38494,23.4715,1.0
6537834,6.60652,6.72731,7.8253,23.47,1.0
6549807,6.64219,6.76364,7.12187,23.4715,1.0
6559757,6.67521,6.797,5.64317,23.4629,1.0
6570819,6.70197,6.82432,6.46665,23.4715,1.0
6581918,6.72498,6.84784,7.80234,23.4672,1.0
6592822,6.74652,6.86988,5.79828,23.4772,1.0
6603195,6.76201,6.88551,4.57988,23.4615,1.0
6615891,6.76897,6.89256,6.47995,23.4729,1.0
6625753,6.77019,6.89371,5.70493,23.4686,1.0
6636813,6.76717,6.89052,6.34155,23.4586,1.0
6647763,6.76191,6.88547,7.10971,23.47,1.0
6657940,6.75834,6.88179,7.76834,23.4629,1.0
6668814,6.7565,6.88003,5.69005,23.4672,1.0
6679620,6.7518,6.87528,5.72137,23.47,1.0
6691186,6.74469,6.8679,7.82518,23.47,1.0
6703624,6.73907,6.86225,6.45247,23.47,1.0
6713765,6.73475,6.8579,7.17184,23.4772,1.0
6724791,6.73071,6.85373,6.48008,23.4729,1.0
6735887,6.72588,6.84852,6.34158,23.4586,1.0
6745770,6.71847,6.84134,5.78231,23.4758,1.0
